epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
63,1435.14,1.25048,0.87226,0.01253,0.7904,0.8136,0.78464,0.38477,1.80512,1.16379,0.02532,0.000883689,0.000883689,0.000883689
64,1456.78,1.31289,0.94555,0.01432,0.78743,0.77057,0.78474,0.40455,1.75457,1.13533,0.02426,0.000880023,0.000880023,0.000880023
65,1478.43,1.25291,0.895,0.01297,0.81149,0.75821,0.77762,0.38824,1.75153,1.17333,0.02555,0.000876357,0.000876357,0.000876357
66,1500.08,1.23551,0.82607,0.01234,0.76072,0.80797,0.77995,0.38757,1.77214,1.17328,0.02452,0.000872691,0.000872691,0.000872691
67,1521.7,1.25783,0.86804,0.01294,0.77508,0.78895,0.78065,0.37768,1.88087,1.27541,0.02745,0.000869024,0.000869024,0.000869024
68,1543.36,1.23058,0.86941,0.01181,0.8598,0.77683,0.79927,0.38351,1.83545,1.15221,0.02739,0.000865358,0.000865358,0.000865358
69,1565.04,1.26668,0.81036,0.01202,0.79239,0.83516,0.80823,0.41038,1.73207,1.06438,0.02469,0.000861692,0.000861692,0.000861692
70,1586.75,1.20888,0.81876,0.01222,0.84093,0.8083,0.81242,0.39589,1.73188,1.15873,0.02497,0.000858025,0.000858025,0.000858025
71,1608.42,1.23826,0.8479,0.01258,0.79323,0.83095,0.8108,0.39286,1.77098,1.20081,0.02502,0.000854359,0.000854359,0.000854359
72,1630.1,1.20527,0.77876,0.0117,0.8114,0.80945,0.80808,0.40406,1.75163,1.15738,0.0248,0.000850693,0.000850693,0.000850693
73,1651.73,1.2023,0.78252,0.01177,0.87682,0.74393,0.80319,0.39862,1.75322,1.18612,0.02555,0.000847026,0.000847026,0.000847026
74,1673.44,1.25871,0.81982,0.01373,0.78776,0.80349,0.79362,0.38737,1.77708,1.23831,0.02553,0.00084336,0.00084336,0.00084336
75,1695.08,1.17969,0.79665,0.01257,0.82826,0.77207,0.79716,0.40345,1.74037,1.24654,0.02583,0.000839694,0.000839694,0.000839694
76,1716.8,1.20743,0.79636,0.01158,0.77996,0.80702,0.77433,0.38851,1.77623,1.13168,0.02565,0.000836027,0.000836027,0.000836027
77,1738.5,1.18876,0.78837,0.01294,0.82796,0.76925,0.78656,0.40243,1.74679,1.15815,0.02526,0.000832361,0.000832361,0.000832361
78,1760.18,1.19627,0.79731,0.01214,0.86627,0.77681,0.81171,0.41012,1.80208,1.10305,0.02593,0.000828695,0.000828695,0.000828695
79,1781.85,1.20607,0.77105,0.01245,0.83423,0.74711,0.77949,0.39867,1.8204,1.17624,0.02608,0.000825029,0.000825029,0.000825029
80,1803.58,1.2016,0.78136,0.0123,0.84007,0.78299,0.80297,0.40816,1.75512,1.1436,0.0256,0.000821362,0.000821362,0.000821362
81,1825.28,1.22185,0.77929,0.01192,0.79842,0.78216,0.78528,0.39382,1.79672,1.23631,0.02601,0.000817696,0.000817696,0.000817696
82,1847,1.22334,0.77965,0.01232,0.83361,0.7732,0.80163,0.40605,1.77543,1.20806,0.02563,0.00081403,0.00081403,0.00081403
83,1868.69,1.2166,0.77131,0.01211,0.80405,0.75955,0.77485,0.39406,1.81288,1.20237,0.02661,0.000810363,0.000810363,0.000810363
84,1890.49,1.15334,0.7594,0.01188,0.8364,0.77912,0.78829,0.39707,1.78075,1.17887,0.02573,0.000806697,0.000806697,0.000806697
85,1912.32,1.16574,0.78055,0.01157,0.81871,0.81496,0.79373,0.39917,1.78084,1.11359,0.02566,0.000803031,0.000803031,0.000803031
86,1934.15,1.17019,0.7844,0.01185,0.82748,0.81715,0.79187,0.40142,1.7974,1.14918,0.02642,0.000799365,0.000799365,0.000799365
87,1955.8,1.15364,0.70319,0.01183,0.85684,0.80921,0.81436,0.40833,1.75256,1.11295,0.02486,0.000795698,0.000795698,0.000795698
88,1977.56,1.11948,0.74044,0.01161,0.78686,0.81251,0.78748,0.38129,1.81193,1.20924,0.02599,0.000792032,0.000792032,0.000792032
89,1999.22,1.126,0.75707,0.01201,0.86004,0.79185,0.81115,0.39416,1.75441,1.20377,0.02596,0.000788366,0.000788366,0.000788366
90,2020.95,1.13921,0.77055,0.01178,0.80983,0.7946,0.78759,0.38734,1.78786,1.16129,0.02641,0.000784699,0.000784699,0.000784699
91,2042.65,1.17141,0.79333,0.01226,0.82951,0.79287,0.79827,0.39802,1.76899,1.11844,0.02418,0.000781033,0.000781033,0.000781033
92,2064.31,1.11961,0.73962,0.0119,0.88747,0.74935,0.82228,0.40602,1.72632,1.22407,0.02466,0.000777367,0.000777367,0.000777367
93,2085.93,1.12085,0.76635,0.01175,0.84078,0.77549,0.79391,0.38699,1.77478,1.19922,0.0253,0.0007737,0.0007737,0.0007737
94,2107.61,1.15741,0.77095,0.01205,0.84203,0.80003,0.81246,0.40898,1.76229,1.17127,0.02493,0.000770034,0.000770034,0.000770034
