epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,650.773,1.06635,0.71935,1.28596,0.97534,0.96776,0.98658,0.69763,1.04594,0.52822,1.22725,0.000121099,0.000121099,0.000121099
137,655.49,1.06237,0.71865,1.2768,0.97285,0.96656,0.98661,0.692,1.06007,0.52881,1.2298,0.000113766,0.000113766,0.000113766
138,660.163,1.01378,0.70098,1.269,0.95955,0.9788,0.98734,0.67208,1.12645,0.53853,1.2627,0.000106434,0.000106434,0.000106434
139,664.855,1.00826,0.69592,1.26328,0.96322,0.98089,0.98774,0.66353,1.1505,0.54329,1.28174,9.91012e-05,9.91012e-05,9.91012e-05
140,669.555,1.05276,0.69749,1.29317,0.96794,0.97579,0.98772,0.67861,1.10624,0.53739,1.26364,9.17686e-05,9.17686e-05,9.17686e-05
141,683.146,1.01263,0.69356,1.25572,0.96657,0.97391,0.98724,0.68343,1.09079,0.53708,1.25779,8.4436e-05,8.4436e-05,8.4436e-05
142,687.767,0.98578,0.67688,1.22753,0.96767,0.97428,0.98701,0.67596,1.1177,0.54475,1.28733,7.71034e-05,7.71034e-05,7.71034e-05
143,692.357,0.98659,0.64706,1.23633,0.97179,0.97185,0.98653,0.6731,1.13677,0.55322,1.30582,6.97708e-05,6.97708e-05,6.97708e-05
144,696.96,0.97565,0.64282,1.21917,0.97319,0.974,0.98735,0.68552,1.09434,0.55194,1.27588,6.24382e-05,6.24382e-05,6.24382e-05
145,701.727,0.96956,0.6328,1.21853,0.97141,0.97487,0.98851,0.69512,1.05948,0.54544,1.24839,5.51056e-05,5.51056e-05,5.51056e-05
146,706.324,0.94964,0.62142,1.20819,0.96894,0.97841,0.98747,0.70249,1.03466,0.53597,1.22292,4.7773e-05,4.7773e-05,4.7773e-05
147,710.931,0.98398,0.61557,1.21861,0.97092,0.97571,0.98612,0.69834,1.04407,0.5353,1.22126,4.04404e-05,4.04404e-05,4.04404e-05
148,715.554,0.93313,0.60298,1.20912,0.9691,0.97466,0.98649,0.69443,1.05503,0.53569,1.22278,3.31078e-05,3.31078e-05,3.31078e-05
149,720.145,0.96135,0.59768,1.20541,0.97022,0.97449,0.98645,0.69304,1.06062,0.53572,1.22591,2.57752e-05,2.57752e-05,2.57752e-05
150,724.75,0.93097,0.59487,1.21081,0.97111,0.9742,0.98646,0.69275,1.0573,0.53608,1.22507,1.84426e-05,1.84426e-05,1.84426e-05
